"movie_id","movie_title","original_language","overview","production_countries","year_released"
"the-last-will-and-testament-of-rosalind-leigh","The Last Will and Testament of Rosalind Leigh","en","The story of Leon, an antiques collector who inherits a house from his estranged mother only to discover that she had been living in a shrine devoted to a mysterious cult. Soon, Leon comes to suspect that his mother's oppressive spirit still lingers within her home and is using items in the house to contact him with an urgent message.","[""Canada""]","2012"
"thunderground","Thunderground","en","A con-artist meets a tough fighter and sees him as her ticket to a better life. The two make an agreement and head off to New Orleans to arrange a match with ""the man"" - the mysterious king of bare-knuckled boxing. There are no rules for this fight...one man wins when the other dies.","[""Canada"",""United States of America""]","1989"
"say-it-isnt-so","Say It Isn't So","en","Boy meets girl; boy falls in love (and had wild, non-stop sex) with girl; boy loses girl... when they discover they are brother and sister! But when he learns that he's the victim of the ultimate case of mistaken identity, the lovesick young man -- whom everyone still thinks is after some taboo thrills -- must race across the country to stop her from marrying another man.","[""United States of America""]","2001"
"lily-and-jim","Lily and Jim","en","Lily and Jim are interviewed about their disastrous blind date, in Don Hertzfeldt's third student film.","[""United States of America""]","1997"
"tenacious-d-the-complete-masterworks-2","Tenacious D: The Complete Masterworks 2","en","Features footage from the band's performances in Seattle, Washington on February 16 and 17, 2007, in addition to numerous bonus videos and D Tour: A Tenacious Documentary. It is the successor to the band's previous collection The Complete Master Works.","[]","2008"
"the-otherworld-2016","The Otherworld","en","The Otherworld is an original story and mystical tale inspired by Celtic mythology and Irish legends. One of the most fascinating characters in Celtic mythology, the Warrior Lugh, crosses Woodland heading to Tara to join the court of King Nuada and the Tuatha De Danann. Nuada and his kingdom are at this time oppressed by the Fomorian tribe, and trying to retaliate for their land and freedom. During Lugh's travel, he is bewitched by a faerie (Immrama) to a Beltane celebration, when the line between the human and fairy world are vulnerable and Lugh crosses unaware to The Otherworld - the fairy realm. Lugh and Immrama fall in love. However, they live in different times and worlds...","[]","2016"
"land-2013","Land","en","Shape shifting animal and geometric forms stun in this piece with music and sound by Aimar Molero. -JAPAN CUTS: Festival of New Japanese Film","[]","2013"
"the-mules","The Mules","lt","A story of three young Europeans, who fell victims to a momentary lapse of reason and currently serve their terms in prisons around South America. By following their daily lives and dissecting their deepest motivations, the film reconstructs the breaking point which turns young, optimistic, people into mere beasts of burden.","[]","2018"
"killers-2010","Killers","en","When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.","[""United States of America""]","2010"
"e-de-chua","É de Chuá","pt",NULL,"[""Brazil""]","1958"
"so-goes-the-nation","...So Goes the Nation","en","A look at the role of the Buckeye State in the 2004 Presidential Election.","[]","2006"
"swing-your-partners","Swing Your Partners","en","Hijinx at a classical dance academy when two tramps take a stab at ballet.","[]","1918"
"cymru-fach","Cymru Fach","cy","A series of vignettes showing the sexual and social connections between a variety of characters in Wales.","[""United Kingdom""]","2008"
"lily-lane","Lily Lane","hu","A mother and son as grapple with the questions of life and death on an inner journey filled with strange stories.","[""Hungary""]","2016"
"earth-vs-the-spider-2001","Earth vs. the Spider","en","A shy comic book fan is injected with an experimental serum and starts turning into a spider. When web covered bodies start appearing a policeman starts to investigate the strange case.","[""United States of America""]","2001"
"paper-shoes","Paper Shoes","en",NULL,"[]","1972"
"in-the-shadow-of-women","In the Shadow of Women","fr","Pierre and Manon are poor. They make documentaries with nothing and they live by doing odd jobs.  Pierre meets a young intern, Elisabeth, and she becomes his mistress. But Pierre will not leave Manon for Elisabeth; he wants to keep both.","[""Switzerland"",""France""]","2015"
"they-call-me-jeeg","They Call Me Jeeg","it","After accidentally coming into contact with radioactive waste, small-time crook Enzo Ceccotti gains superpowers. A misanthropic, introverted brute, he uses his new powers for personal gain until he meets Alessia, a mentally challenged girl who believes Enzo’s the hero from her favorite Japanese anime series, Steel Jeeg.","[""Italy""]","2015"
"servant-of-mankind","Servant Of Mankind","en","This short dramatizes how profoundly the inventions of Thomas A. Edison have affected the world in which we live. In addition to the electric light, Edison developed the system of alternating current that carries virtually all of the world's electricity, as well as storage batteries and electric motors. Other highlighted inventions include the phonograph, automatic stock ticker, wireless telegraphy, mimeograph machine, and, of course, the world's first motion picture studio.","[""United States of America""]","1940"
"crime-over-london","Crime Over London","en","With the police on their tail, a gang of New York criminals decided to relocate to London where they plan a major robbery on a department store.","[""United Kingdom""]","1936"
"the-pope-of-greenwich-village","The Pope of Greenwich Village","en","Charlie and his troublesome cousin Paulie decide to steal $150000 in order to back a ""sure thing"" race horse that Paulie has inside information on. The aftermath of the robbery gets them into serious trouble with the local Mafia boss and the corrupt New York City police department.","[""United States of America""]","1984"
"the-second-life-of-thieves","The Second Life of Thieves","zh","Village chief Tan is busy. His wife and best friend Lai have mysteriously disappeared and an undocumented worker is dead. While awaiting their return, Tan and Lai's daughter, Sandy, develop an unlikely friendship that opens old wounds and examines the nature of love and regret.","[""Malaysia""]","2014"
"gulp-2011","Gulp","en",NULL,"[""United Kingdom""]","2011"
"projekt-a-a-journey-to-anarchist-projects-in-europe","Projekt A - A Journey to Anarchist Projects in Europe","de","PROJEKT A is a documentary that resists the common clichés about anarchism to instead show anarchist ideas of a society in which no one shall have the power to control knowledge, natural resources, land, soil or other people.  After inspiring over 25,000 German cinema-goers, this award-winning documentary about anarchism and anarchist projects in Europe is now available on VoD!
 “Projekt A stirs up the audience and is grippingly shot, getting close to the kinds of tenacious people who are so vital to change in our society.” (kinokino)
 “…a cinematic portrait, not of anarchy, but of anarchists. A story, not of possibilities, necessities or even failure, but a depiction of achievements, initiative, action, ideas, as well as success.” (kino-zeit.de)  Audience Award Filmfest Munich","[""Germany""]","2016"
"the-secret-adversary","The Secret Adversary","en","After a chance meeting and an indiscreet conversation, childhood friends Tommy Beresford and Tuppence Cowley become involved in a convoluted intrigue led by a mysterious man known simply as Mr. Brown.","[""United Kingdom""]","1983"
"conspiracy-the-trial-of-the-chicago-8","Conspiracy: The Trial of the Chicago 8","en","A made-for-cable-TV docudrama about the trial of the men accused of conspiring to cause protesters to riot at the 1968 Democratic National Convention in Chicago. Combines in an innovative manner dramatic recreations (largely faithful to the actual trial transcripts) with documentary footage and interviews with the actual defendants.","[""United States of America""]","1987"
"it-lives-in-the-attic","It Lives in the Attic","en","The lives of several people take a terrifying turn after discovering the attic in an old house with a mysterious past.","[""United States of America""]","2016"
"dark-sense","Dark Sense","en","Simon, a traumatised young man who can glimpse the future must do anything to stop a killer, even if it means being the murderer’s final victim. He hires Steve, an ex-SAS soldier but their plan goes awry.","[""United Kingdom""]","2019"
"sollers-point","Sollers Point","en","Keith, a small-time drug dealer is under house arrest at the home of his father in Baltimore. He re-enters a community scarred by unemployment, neglect and deeply entrenched segregation. There, he pushes back against his surrounding limitations as he tries to find a way out of his own internal prison.","[""France"",""United States of America""]","2017"
"phoenix-the-raider","Phoenix the Raider","en","A story of two friends on the opposite side of the law.","[]","1982"
"sunset-strip-2012","Sunset Strip","en","A documentary on the famous Los Angeles street.","[""United States of America""]","2012"
"happy-happy-joy-joy-the-ren-stimpy-story","Happy Happy Joy Joy: The Ren & Stimpy Story","en","Exploring the rise and fall of the groundbreaking animated series ​Ren & Stimpy​ and its controversial creator, John Kricfalusi, through archival footage, show artwork and interviews with the artists, actors and executives behind the show.","[""United States of America""]","2020"
"heart-2-heart","Heart 2 Heart","id","While holidaying in Bogor, Indah meets Pandu and they both fall in love. Their brief time together ends and Indah needs to return to her life in Jakarta.","[""Indonesia""]","2010"
"apple-in-the-river","Apple in the River","lv","A feature shot as a documentary, with minimal interference in the surrounding action. The resulting film is a truthful and innocent portrayal of the era with no imitations or conscious borrowings but with its own avant-garde experiments.","[""Latvia"",""Soviet Union""]","1974"
"divine-secrets-of-the-ya-ya-sisterhood","Divine Secrets of the Ya-Ya Sisterhood","en","A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother.","[""United States of America""]","2002"
"note-one","Note One","en","A study of my parents in grey and white. An evening film. My mother lights the sabbath candles, cooks, crochets, sleeps, talks to father reading the paper – we are together. This is the first completed note.","[""United States of America""]","1968"
"little-sister-2016","Little Sister","en","October, 2008. Young nun Colleen is avoiding all contact from her family, until an email from her mother announces, “Your brother is home.” On returning to her childhood home in Asheville, NC, she finds her old room exactly how she left it: painted black and covered in goth/metal posters. Her parents are happy enough to see her, but unease and awkwardness abounds. Her brother is living as a recluse in the guesthouse since returning home from the Iraq war. During Colleen’s visit, tensions rise and fall with a little help from Halloween, pot cupcakes, and GWAR. Little Sister is a sad comedy about family – a schmaltz-free, pathos-drenched, feel good movie for the little goth girl inside us all.","[]","2016"
"la-muerte-en-la-alcarria","La muerte en la Alcarria","es",NULL,"[""Spain""]","2015"
"almost","Wendy Cracked a Walnut","en","Romantic comedy that mixes magical realism with traditional Australian urban-outback contrasts. The plot centers on a bored woman (the eponymous Wendy) who conjures up the perfect lover, Jake, while her husband is out on the road suffering comical mishaps.","[""Australia""]","1990"
"house-at-the-end-of-the-street","House at the End of the Street","en","A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.","[""United States of America""]","2012"
"deconstructing-sarah","Deconstructing Sarah","en","Thriller about an advertising executive Kelley who leads a double life, looking for men in dive bars at night. However, when she goes missing, it causes her best friend Ticotin to turn detective and infiltrate the seedy underworld to discover what happened.","[""United States of America""]","1994"
"nasty-old-people","Nasty Old People","en","Member of a neo-Nazi gang, her day job is to take care of four crazy old people that all are just waiting to die. Her life becomes a journey into a burlesque fairytale, where the rules of the game are created by Mette herself. Mette is indifferent about her way of life, until she one night assaults a man, kicking him senseless. Waking up the day after, she realizes that something is wrong.","[""Sweden""]","2009"
"pantera-reinventing-hell-the-best-of-pantera","Pantera: Reinventing Hell - The Best Of Pantera","en","A collection of music videos from the band with an additional two live songs ""Domination"" &amp; ""Primal Concrete Sledge"".","[""United States of America""]","2003"
"bruce-les-greatest-revenge","Bruce Le's Greatest Revenge","cn","A classic tribute to a legendary Kung-Fu master. The high-powered action and deadly fistfights don’t let up for a moment. When all the chips are down, the Dragon Master will prevail!","[""Hong Kong""]","1978"
"passion-flower","Passion Flower","en","A bored society woman invites scandal and heartache when she falls in love with her low-born chauffeur.","[""United States of America""]","1930"
"fantasies-2017","Fantasies","en","""An hommage to the fantastic, provided by others in art and life. Iceland summer 2017, thank you to the family, especially Sarah Bergman."" - Robert Todd","[]","2017"
"blue-bustamante","Blue Bustamante","en","A father who works abroad as an OFW ends up secretly playing a superhero role in a Japanese TV show.","[""Philippines""]","2013"
"veronica-2020","Veronica","pt","Veronica Oliveira - Faxina Boa is a unique cleaning professional in São Paulo. Through a drift in Vila Buarque, the neighborhood where she was born and returned to work, she tells us a little about her trajectory.","[""Brazil""]","2020"
"black-light","Black Light","en","Sharon Avery is a blind woman who is having visions of murder. She ""sees"" children being killed and the face of a serial killer. Everyone around her, including the police are skeptical with the exception of one inspector who has fallen for her.Can she convince them in time to prevent any more murders, including her own?","[""Canada""]","1999"
"ranma-ova-9-cho-musabetsu-kessen-ranma-team-vs-densetsu-no-houo","Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix","ja","In this animated short, poetry-spouting high-school swordsman Tatewaki Kuno comes into possession of the egg of the legendary phoenix, which is said to grant its owner incredible powers. A shopkeeper sells the egg to Kuno on one condition: ""Never, never, in any circumstance, put the darn thing on your head.""","[""Japan""]","1994"
"tharlo","Tharlo","bo","Tharlo is an orphan. Now grown up, he makes a living as a sheep herder in the village. He has grown a ponytail, so people simply call him “Ponytail”, since nobody remembers his real name anyway. Tharlo has a remarkable memory. He remembers so many things, except his own name. He is now in his forties, and he has yet to have his first woman. Now Tharlo goes to town to take a photo for his identity card. He meets a girl in the barber’s shop who changes the course of his life. He embarks on the journey to find his true self. He sells all his sheep and those entrusted by other villagers to him for care, and decides to use the money to go out into the world with the girl, only to find himself being deceived and cheated by her. Ironically, in his journey of self-discovery, Tharlo has lost his sense of self. As he witnesses in the mirror his ponytail being cut off and leaving him bald, he can no longer see himself as a man with a history that he recognizes.","[""China""]","2015"
"stand-outs","Stand-Outs","en","A girl with self-esteem issues tells the story of how she lost herself in an attempt to fit into society by altering pieces of her personality.","[]","2015"
"sos-the-salton-sea-walk","SOS: The Salton Sea Walk","en","As California's largest lake approaches a point of no return, one man will attempt to become the first person to walk around its hazardous shoreline in order to prevent an ecologic disaster that could impact the entire western hemisphere.","[""United States of America""]","2017"
"la-bete-humaine","La Bête Humaine","fr","On board a train bound for the port city of Le Havre, France, railroad stationmaster Roubard murders Grandmorin, who seduced his beautiful young wife, Severine. Engineer Jacques Lantier, stuck in Le Havre while the train is being repaired, also begins a passionate affair with Severine, who tries to entice the handsome stranger to murder her controlling husband. However, Lantier has a secret urge of his own that changes everything.","[""France""]","1938"
"heres-to-life-the-story-of-the-refreshments","Here's To Life: The Story of the Refreshments","en","A documentary about a band that had a hit in the mid 90's and then seemingly disappeared... only to rise again as an independent band in a new era of music.","[]","2017"
"the-tree-remembers","The Tree Remembers","en","""What the axe forgets, the trees remember."" The Tree Remembers presents the current situation in Malaysia where the racial policy is still practiced and the victims are forced to remain silent. This film re-examines the origin of racism in Malaysia and the taboo of racial riot in 1969.","[]","2019"
"the-marquise-of-o","The Marquise of O","de","A German Marquise has to deal with a pregnancy she cannot explain and an infatuated Russian Count.","[""France"",""Germany""]","1976"
"soliloquy","Soliloquy","en","A bus takes-off from urban Manila to the rural southeastern side of the country, carrying a group of  mixed passengers from all walks of life, each one has a personal story to tell and they are telling it in their own voice. During the long journey, as the passengers mentally sort out their past &amp; their future, things happen in the present, by choice or by providence, that make their journey memorable—the bus blows a tire, a song elicits tears, a butterfly causes commotion, a picture gets lost, someone's head is stoned, some hearts are broken, some mended. The bus ride poetizes the life journey and poses questions on issues of life and death and where exactly the line is drawn between free will and destiny.","[""Philippines""]","2009"
"attenboroughs-life-that-glows","Attenborough's Life That Glows","en","Luminous beings, creatures with their own internal light, enchant and astonish us. Anyone who has seen a firefly or a glow-worm cannot help but fall under their spell. The sea at night sparkles as millions of luminous plankton reveal the shapes of dolphins in a truly magical light show.  Join Sir David Attenborough and a team of the world's leading scientists and deep sea explorers on a quest to reveal the secrets of living lights.","[""United Kingdom""]","2016"
"the-corbett-fitzsimmons-fight","The Corbett-Fitzsimmons Fight","en","This legendary fight was filmed on March 17, 1897, using 63mm film that produced an aspect ratio of about 1.75:1. Using three adjacent cameras, Enoch Rector recorded the entire fight, simultaneously creating the world's first known feature film, as the resulting footage lasted over 90 minutes in length. About a quarter of the film survives today. Written by Mark Toscano.","[""United States of America""]","1897"
"mensaje-interrumpido","Mensaje interrumpido","es",NULL,"[""Mexico""]","2020"
"pelican-blood-2019","Pelican Blood","de","The horse trainer Wiebke adopts Raya from abroad, but soon she has to learn that the girl suffers from an attachment disorder and does not build an emotional connection to anybody around her. Raya constantly puts others in great danger, especially her older adoptive sister Nicolina. After a neurologist explains that Raya will have life-long troubles and does not feel any empathy, Wiebke has to decide whether she is willing to keep her and risk Nicolina’s well-being.","[""Bulgaria"",""Germany""]","2019"
"fun-home-2020","Fun Home","en","Alison sets out to unravel the many mysteries of her childhood through a series of memories and conversations—from her coming out to her moving journey to acceptance.","[]","2020"
"green-light-2016","Green Light","en","With the ecosystem destroyed after a nuclear war, Mari, a survivor, does all she can to rebuild. When she stumbles upon a robot soldier in an abandoned city, everything changes.","[""South Korea""]","2016"
"the-fight-for-the-red-cow","The Fight For The Red Cow","da",NULL,"[""Denmark""]","1987"
"enfant-terrible","Enfant Terrible","en","When two employees at an art gallery realize they've thrown out a piece of contemporary art, thinking it was trash, they race to recreate the piece before anyone finds out.","[]","null"
"addicted-to-porn-chasing-the-cardboard-butterfly","Addicted to Porn: Chasing the Cardboard Butterfly","en","Like it or not, porn is here and it is harmful. In this controversial film, award-winning filmmaker Justin Hunt dissects the impact of pornography on societies around the globe, from how it affects the brain of the individual, to how modern technology leads to greater exposure to youth, to watching it literally tear a family apart. In what may well be one of the most devastating issues in modern culture, this film will break down the damage that porn is doing to us a human race and leave you thinking that it's clearly time that we start taking porn addiction a bit more seriously.","[""United States of America""]","2017"
"down-in-the-delta","Down in the Delta","en","A single mother plagued by alcohol and drug addictions is sent with her children from Chicago to her ancestral home in the Mississippi Delta, to live with her uncle and aunt for the summer.","[""United States of America""]","1998"
"the-little-country-mouse","The Little Country Mouse","en","Country girl May loses at cards and must borrow $250 from Captain Stiles, but the wealthy roué's loan does not come without an expectation of repayment.","[]","1914"
"emily-heller-ice-thickeners","Emily Heller: Ice Thickeners","en","The comic and writer for HBO’s Barry compares Donald Trump to Air Bud, answers some FAQs about vegetarianism, and recalls telling her personal trainer about her lack of fitness goals.","[]","2019"
"the-earth-as-seen-from-the-moon","The Earth As Seen from the Moon","it","Ciancicato Miao and his son, after the death of his wife and mother by mushroom poisoning, are dedicated to find her replacement and have no luck until they find a mysterious deaf mute green-haired woman.","[""France"",""Italy""]","1967"
"eversmile-new-jersey","Eversmile, New Jersey","en","Traveling dentist O'Connell traverses South America on his motorcycle for the 'Eversmile' foundation of New Jersey, in a fight not only against caries, but also against fear, ignorance, indifference - and established antediluvian dentists. During a stop at a lonesome garage he meets Estella, who is supposed to marry a few days later. However she'd rather come with him - to meet a former boyfriend in another town, she says. Expecting problems, he refuses to take her, but she tricks him into it and then tries hard to convince him of her qualities and let her stay with him.","[""United Kingdom"",""Argentina""]","1989"
"shotgun-wedding-2013","Shotgun Wedding","en","After Robert, a marrying-up groom, 'accidentally' shoots his fiance's Maid of Honor in the face during a drunken skeet-shooting session, his meddling mother does whatever it takes to ensure the wedding takes place.","[]","2013"
"cruel-tricks-for-dear-friends","Cruel Tricks for Dear Friends","en","Penn &amp; Teller's Cruel Tricks for Dear Friends is a straight-to-video release by magicians Penn &amp; Teller on Lorimar Home Video in 1987. The tape features seven different swindles or tricks that the home viewer can use to fool their friends. The tape was a companion piece to their best selling book of the same name. All of the tricks involve using a portion of the videotape.","[]","1987"
